,ortho,phon,p_cvcv,cvcv,nbsyll,nblettres
13951,bâtiment,batim@,CVCVCV,CVCVCVCC,3,8
42529,dessiner,desine,CVCVCV,CVCCVCVC,3,8
111615,ravissant,Ravis@,CVCVCV,CVCVCCVCC,3,9
84352,maladie,maladi,CVCVCV,CVCVCVV,3,7
39034,délicat,delika,CVCVCV,CVCVCVC,3,7
40892,déposer,depoze,CVCVCV,CVCVCVC,3,7
117421,répéter,Repete,CVCVCV,CVCVCVC,3,7
93509,numéro,nymeRo,CVCVCV,CVCVCV,3,6
27766,compagnie,k§paNi,CVCVCV,CVCCVCCVV,3,9
79067,jalousie,Zaluzi,CVCVCV,CVCVVCVV,3,8
97546,parigot,paRigo,CVCVCV,CVCVCVC,3,7
134034,tibétain,tibet5,CVCVCV,CVCVCVVC,3,8
60649,favela,favela,CVCVCV,CVCVCV,3,6
34867,cutané,kytane,CVCVCV,CVCVCV,3,6
85510,marina,maRina,CVCVCV,CVCVCV,3,6
141510,vivoter,vivote,CVCVCV,CVCVCVC,3,7
141207,virulent,viRyl@,CVCVCV,CVCVCVCC,3,8
122780,salissant,salis@,CVCVCV,CVCVCCVCC,3,9
140913,vilenie,vileni,CVCVCV,CVCVCVV,3,7
122480,safari,safaRi,CVCVCV,CVCVCV,3,6
13957,bâtir,batiR,CVCVC,CVCVC,2,5
114785,régime,ReZim,CVCVC,CVCVCV,2,6
91800,nature,natyR,CVCVC,CVCVCV,2,6
122632,saisir,seziR,CVCVC,CVVCVC,2,6
61898,final,final,CVCVC,CVCVC,2,5
87010,ménage,menaZ,CVCVC,CVCVCV,2,6
46204,doubler,duble,CVCCV,CVVCCVC,2,7
82821,local,lokal,CVCVC,CVCVC,2,5
131684,tableau,tablo,CVCCV,CVCCVVV,2,7
122772,salir,saliR,CVCVC,CVCVC,2,5
46275,doudoune,dudun,CVCVC,CVVCVVCV,2,8
104651,potiche,potiS,CVCVC,CVCVCCV,2,7
13375,barbant,baRb@,CVCCV,CVCCVCC,2,7
16136,bobonne,bobOn,CVCVC,CVCVCCV,2,7
99697,perdant,pERd@,CVCCV,CVCCVCC,2,7
23476,charmé,SaRme,CVCCV,CCVCCV,2,6
127060,sonique,sonik,CVCVC,CVCVCVV,2,7
83147,lotus,lotys,CVCVC,CVCVC,2,5
140901,viking,vikiG,CVCVC,CVCVCC,2,6
129736,succube,sykyb,CVCVC,CVCCVCV,2,7
106532,prince,pR5s,CCVC,CCVCCV,1,6
61069,ferme,fERm,CVCC,CVCCV,1,5
64689,fringue,fR5g,CCVC,CCVCCVV,1,7
17493,bourse,buRs,CVCC,CVVCCV,1,6
91530,naître,nEtR,CVCC,CVVCCV,1,6
81159,large,laRZ,CVCC,CVCCV,1,5
87736,mètre,mEtR,CVCC,CVCCV,1,5
68374,grâce,gRas,CCVC,CCVCV,1,5
85921,masque,mask,CVCC,CVCCVV,1,6
20169,calme,kalm,CVCC,CVCCV,1,5
80010,jusque,Zysk,CVCC,CVCCVV,1,6
129181,strie,stRi,CCCV,CCCVV,1,5
68763,gratte,gRat,CCVC,CCVCCV,1,6
128566,spore,spOR,CCVC,CCVCV,1,5
137068,triche,tRiS,CCVC,CCVCCV,1,6
102986,ploc,plOk,CCVC,CCVC,1,4
45639,djinn,dZin,CCVC,CCVCC,1,5
100466,peste,pEst,CVCC,CVCCV,1,5
128760,stase,staz,CCVC,CCVCV,1,5
80418,kyste,kist,CVCC,CVCCV,1,5
