,ortho,phon,cgram,islem,freqlemfilms2,freqfilms2,freqlemlivres,freqlivres,p_cvcv,cvcv,nbsyll,nblettres
98268,patate,patat,NOM,1,14.47,4.59,10.74,3.38,CVCVC,CVCVCV,2,6
12442,bagage,bagaZ,NOM,1,29.69,3.21,24.39,7.43,CVCVC,CVCVCV,2,6
129888,suffire,syfiR,VER,1,232.08,5.24,159.39,4.86,CVCVC,CVCCVCV,2,7
132782,taxi,taksi,NOM,1,63.77,59.42,46.82,41.22,CVCCV,CVCV,2,4
134170,timide,timid,ADJ,1,16.36,14.18,25.14,19.53,CVCVC,CVCVCV,2,6
26962,collègue,kolEg,NOM,1,38.93,18.22,32.09,12.16,CVCVC,CVCCVCVV,2,8
63203,forcer,fORse,VER,1,64.64,16.33,75.41,18.04,CVCCV,CVCCVC,2,6
99738,perdu,pERdy,ADJ,1,36.46,17.5,58.45,27.43,CVCCV,CVCCV,2,5
118426,respect,REspE,NOM,1,54.78,50.47,43.85,42.43,CVCCV,CVCCVCC,2,7
14598,bénir,beniR,VER,1,48.77,2.36,18.92,3.38,CVCVC,CVCVC,2,5
22495,centaine,s@tEn,NOM,1,29.22,6.33,41.82,10.54,CVCVC,CVCCVVCV,2,8
99915,périr,peRiR,VER,1,11.2,3.83,10.34,4.93,CVCVC,CVCVC,2,5
85784,marteau,maRto,NOM,1,12.63,11.84,15.61,13.31,CVCCV,CVCCVVV,2,7
122632,saisir,seziR,VER,1,36.81,9.4,135.74,33.78,CVCVC,CVVCVC,2,6
79002,jadis,Zadis,ADV,1,11.55,11.55,52.3,52.3,CVCVC,CVCVC,2,5
125823,siffler,sifle,VER,1,13.04,3.02,40.2,8.24,CVCCV,CVCCCVC,2,7
84349,malade,malad,NOM,1,41.24,25.67,43.18,26.15,CVCVC,CVCVCV,2,6
79391,jeunesse,Z9nEs,NOM,1,28.71,27.21,85.14,83.24,CVCVC,CVVCVCCV,2,8
90606,mourir,muRiR,VER,1,916.4,234.74,391.08,130.61,CVCVC,CVVCVC,2,6
13957,bâtir,batiR,VER,1,18.65,5.62,24.53,8.24,CVCVC,CVCVC,2,5
132432,tarder,taRde,VER,1,28.36,15.01,34.46,12.09,CVCCV,CVCCVC,2,6
109673,racine,Rasin,NOM,1,12.53,5.17,31.96,11.01,CVCVC,CVCVCV,2,6
46204,doubler,duble,VER,1,15.29,4.65,22.84,4.39,CVCCV,CVVCCVC,2,7
110890,rapide,Rapid,ADJ,1,48.73,42.28,71.82,53.99,CVCVC,CVCVCV,2,6
70070,guitare,gitaR,NOM,1,13.86,12.78,14.8,11.55,CVCVC,CVVCVCV,2,7
126714,soldat,sOlda,NOM,1,107.92,52.78,128.92,46.22,CVCCV,CVCCVC,2,6
97389,pardon,paRd§,NOM,1,55.62,54.7,26.89,26.08,CVCCV,CVCCVC,2,6
27105,colonne,kolOn,NOM,1,11.95,9.24,50.07,25.95,CVCVC,CVCVCCV,2,7
81624,légume,legym,NOM,1,15.16,3.2,23.45,2.09,CVCVC,CVCVCV,2,6
139138,valeur,val9R,NOM,1,45.4,32.48,52.3,40.74,CVCVC,CVCVVC,2,6
45772,dollar,dolaR,NOM,1,134.1,13.89,16.96,3.85,CVCVC,CVCCVC,2,6
135114,total,total,ADJ,1,24.59,9.29,41.62,16.35,CVCVC,CVCVC,2,5
131096,surtout,syRtu,ADV,1,148.66,148.66,291.49,291.49,CVCCV,CVCCVVC,2,7
131291,suspect,syspE,ADJ,1,12.95,8.44,16.82,7.77,CVCCV,CVCCVCC,2,7
88861,misère,mizER,NOM,1,18.77,16.85,47.23,39.46,CVCVC,CVCVCV,2,6
69796,guérir,geRiR,VER,1,44.73,17.7,30.27,11.49,CVCVC,CVVCVC,2,6
97914,partie,paRti,NOM,1,191.19,177.81,211.49,187.97,CVCCV,CVCCVV,2,6
35262,danseur,d@s9R,NOM,1,23.05,5.85,25.68,5.0,CVCVC,CVCCVVC,2,7
22918,chaleur,Sal9R,NOM,1,39.13,38.77,116.22,112.23,CVCVC,CCVCVVC,2,7
27999,complet,k§plE,ADJ,1,29.19,17.76,44.12,20.61,CVCCV,CVCCCVC,2,7
22698,certain,sERt5,ADJ:ind,1,103.57,2.18,182.64,6.89,CVCCV,CVCCVVC,2,7
132049,tambour,t@buR,NOM,1,10.2,7.8,19.32,10.54,CVCVC,CVCCVVC,2,7
22423,cellule,selyl,NOM,1,42.98,31.06,46.28,35.34,CVCVC,CVCCVCV,2,7
99591,percer,pERse,VER,1,15.77,6.19,42.03,11.22,CVCCV,CVCCVC,2,6
108539,punir,pyniR,VER,1,41.7,13.82,20.14,8.45,CVCVC,CVCVC,2,5
12451,bagarre,bagaR,NOM,1,19.24,16.05,13.85,9.86,CVCVC,CVCVCCV,2,7
66133,garçon,gaRs§,NOM,1,251.51,188.41,262.5,186.96,CVCCV,CVCCVC,2,6
25619,civil,sivil,ADJ,1,20.46,5.92,28.51,9.46,CVCVC,CVCVC,2,5
122772,salir,saliR,VER,1,17.51,6.81,15.95,6.08,CVCVC,CVCVC,2,5
123565,sauvage,sovaZ,ADJ,1,24.68,16.67,54.66,34.46,CVCVC,CVVCVCV,2,7
96760,panique,panik,NOM,1,16.23,16.17,25.61,24.86,CVCVC,CVCVCVV,2,7
141869,vomir,vomiR,VER,1,26.12,13.75,23.31,11.62,CVCVC,CVCVC,2,5
98835,pêcheur,pES9R,NOM,1,10.34,5.08,27.43,13.11,CVCVC,CVCCVVC,2,7
82821,local,lokal,ADJ,1,18.11,6.05,22.84,6.76,CVCVC,CVCVC,2,5
42188,désir,deziR,NOM,1,45.35,31.59,117.09,96.69,CVCVC,CVCVC,2,5
125246,serment,sERm@,NOM,1,21.19,18.18,12.23,8.85,CVCCV,CVCCVCC,2,7
26619,cognac,koNak,NOM,1,12.07,11.69,11.01,10.68,CVCVC,CVCCVC,2,6
87746,métro,metRo,NOM,1,18.17,17.66,41.35,40.0,CVCCV,CVCCV,2,5
141210,visage,vizaZ,NOM,1,141.23,125.52,565.0,490.54,CVCVC,CVCVCV,2,6
83918,madame,madam,NOM,1,307.36,249.32,203.45,198.72,CVCVC,CVCVCV,2,6
