,ortho,phon,cgram,islem,freqlemfilms2,freqfilms2,freqlemlivres,freqlivres,p_cvcv,cvcv,nbsyll,nblettres
97346,parc,paRk,NOM,1,32.85,31.02,43.99,38.72,CVCC,CVCC,1,4
46631,drôle,dRol,NOM,1,18.73,13.59,21.01,14.46,CCVC,CCVCV,1,5
101081,phrase,fRaz,NOM,1,22.01,15.4,140.47,86.76,CCVC,CCCVCV,1,6
18995,brute,bRyt,NOM,1,14.03,9.04,12.09,7.57,CCVC,CCVCV,1,5
61071,ferme,fERm,NOM,1,76.86,73.53,58.04,47.23,CVCC,CVCCV,1,5
100333,perte,pERt,NOM,1,37.8,30.2,36.28,26.62,CVCC,CVCCV,1,5
122182,rythme,Ritm,NOM,1,20.43,19.15,45.95,42.57,CVCC,CVCCCV,1,6
103149,plus,plys,NOM,1,21.02,21.02,20.34,20.34,CCVC,CCVC,1,4
62573,flic,flik,NOM,1,153.5,67.53,72.43,30.95,CCVC,CCVC,1,4
33214,crâne,kRan,NOM,1,28.6,26.88,56.82,52.23,CCVC,CCVCV,1,5
106324,preuve,pR9v,NOM,1,107.54,60.79,65.34,50.54,CCVC,CCVVCV,1,6
93199,nôtre,notR,PRO:pos,1,19.0,19.0,23.51,23.51,CVCC,CVCCV,1,5
18134,bref,bREf,ADV,1,22.26,22.26,38.78,38.78,CCVC,CCVC,1,4
16879,boucle,bukl,NOM,1,18.86,8.62,29.86,11.22,CVCC,CVVCCV,1,6
62106,fixe,fiks,ADJ,1,11.12,9.83,39.53,27.97,CVCC,CVCV,1,4
102365,plaire,plER,VER,1,607.21,19.0,139.8,19.66,CCVC,CCVVCV,1,6
116494,rendre,R@dR,VER,1,508.81,141.31,468.11,150.07,CVCC,CVCCCV,1,6
35355,d'autres,dotR,ADJ:ind,1,133.34,133.34,119.73,119.73,CVCC,C'VVCCVC,1,8
69647,grotte,gROt,NOM,1,12.23,8.96,21.96,17.84,CCVC,CCVCCV,1,6
81200,larme,laRm,NOM,1,45.71,5.15,133.51,10.81,CVCC,CVCCV,1,5
32746,course,kuRs,NOM,1,72.48,40.45,81.22,51.22,CVCC,CVVCCV,1,6
128580,sport,spOR,NOM,1,30.04,24.61,20.81,15.54,CCVC,CCVCC,1,5
82673,litre,litR,NOM,1,10.19,2.75,18.51,10.2,CVCC,CVCCV,1,5
85921,masque,mask,NOM,1,29.18,23.16,38.65,28.45,CVCC,CVCCVV,1,6
87356,merde,mERd,NOM,1,213.05,206.68,62.77,61.28,CVCC,CVCCV,1,5
102208,place,plas,NOM,1,301.3,280.54,468.58,437.97,CCVC,CCVCV,1,5
126890,sombre,s§bR,ADJ,1,31.86,24.66,125.74,93.72,CVCC,CVCCCV,1,6
104234,porte,pORt,NOM,1,333.85,288.39,617.43,536.96,CVCC,CVCCV,1,5
81159,large,laRZ,ADJ,1,18.66,14.25,107.5,70.54,CVCC,CVCCV,1,5
62288,flamme,flam,NOM,1,26.93,12.61,71.82,38.38,CCVC,CCVCCV,1,6
13598,barque,baRk,NOM,1,10.4,9.52,41.28,29.93,CVCC,CVCCVV,1,6
106581,prise,pRiz,NOM,1,28.25,22.92,38.04,27.7,CCVC,CCVCV,1,5
68898,grec,gREk,NOM,1,11.36,6.31,26.22,14.86,CCVC,CCVC,1,4
45014,disque,disk,NOM,1,33.61,20.36,42.16,21.49,CVCC,CVCCVV,1,6
127384,souffle,sufl,NOM,1,26.98,26.55,100.2,93.18,CVCC,CVVCCCV,1,7
23024,chambre,S@bR,NOM,1,288.64,263.93,413.31,380.07,CVCC,CCVCCCV,1,7
15969,bloc,blOk,NOM,1,17.28,14.25,38.78,28.31,CCVC,CCVC,1,4
92839,nombre,n§bR,NOM,1,40.16,36.57,78.38,76.28,CVCC,CVCCCV,1,6
85683,marque,maRk,NOM,1,40.29,23.91,37.7,26.89,CVCC,CVCCVV,1,6
139815,vendre,v@dR,VER,1,206.95,73.62,92.64,30.81,CVCC,CVCCCV,1,6
129801,sucre,sykR,NOM,1,32.01,30.57,32.77,30.54,CVCC,CVCCV,1,5
25655,clair,klER,ADJ,1,122.69,88.54,156.69,91.01,CCVC,CCVVC,1,5
84256,maître,mEtR,NOM,1,128.55,118.88,151.49,125.74,CVCC,CVVCCV,1,6
26135,cloche,klOS,NOM,1,19.72,9.01,34.59,18.24,CCVC,CCVCCV,1,6
20169,calme,kalm,ADJ,1,66.57,58.78,73.65,65.81,CVCC,CVCCV,1,5
33152,crainte,kR5t,NOM,1,14.54,11.39,52.64,45.61,CCVC,CCVVCCV,1,7
125539,sexe,sEks,NOM,1,52.09,50.44,52.7,46.49,CVCC,CVCV,1,4
63506,foudre,fudR,NOM,1,12.94,12.5,14.46,12.64,CVCC,CVVCCV,1,6
25860,classe,klas,NOM,1,78.99,70.46,108.92,90.74,CCVC,CCVCCV,1,6
109078,quelques,kElk,ADJ:ind,1,337.35,337.35,732.57,732.57,CVCC,CVVCCVVC,1,8
46584,drogue,dROg,NOM,1,58.76,47.2,13.72,10.54,CCVC,CCVCVV,1,6
68372,grâce,gRas,NOM,1,34.59,32.08,57.7,49.66,CCVC,CCVCV,1,5
81916,lèvre,lEvR,NOM,1,37.91,4.0,222.03,20.74,CVCC,CVCCV,1,5
80022,juste,Zyst,NOM,1,18.73,17.36,22.36,20.81,CVCC,CVCCV,1,5
14969,bible,bibl,NOM,1,17.79,17.03,17.84,17.16,CVCC,CVCCV,1,5
68458,graine,gREn,NOM,1,11.41,5.51,13.51,8.04,CCVC,CCVVCV,1,6
62553,fleuve,fl9v,NOM,1,21.58,19.81,46.89,39.32,CCVC,CCVVCV,1,6
62435,flèche,flES,NOM,1,12.76,8.21,25.0,15.54,CCVC,CCVCCV,1,6
102434,planche,pl@S,NOM,1,13.37,10.01,41.55,14.53,CCVC,CCVCCCV,1,7
141945,votre,vOtR,ADJ:pos,1,1894.09,1894.09,427.91,427.91,CVCC,CVCCV,1,5
